Zeitraum,Bibliothek,Entleihungen,Besucher,aktivierte Ausweise
2019-01,Buchsommer,,,
2019-01,Böhlitz-Ehrenberg,7361.0,2040.0,737.0
2019-01,Fahrbibliothek,9120.0,3627.0,1729.0
2019-01,Gohlis,24091.0,8906.0,2672.0
2019-01,Grünau-Mitte,4798.0,2100.0,571.0
2019-01,Grünau-Nord,6612.0,2575.0,460.0
2019-01,Grünau-Süd,4408.0,1752.0,481.0
2019-01,Holzhausen,2479.0,467.0,260.0
2019-01,Lützschena-Stahmeln,1535.0,402.0,171.0
2019-01,Mockau,4424.0,2808.0,515.0
2019-01,Onleihe,18270.0,14238.0,
2019-01,Overdrive,,,
2019-01,Paunsdorf,12333.0,4158.0,946.0
2019-01,Plagwitz,24050.0,9289.0,2163.0
2019-01,Reudnitz,6101.0,2395.0,768.0
2019-01,Schönefeld,5323.0,2555.0,549.0
2019-01,Stadtbibliothek,275785.0,54786.0,12671.0
2019-01,Südvorstadt,23965.0,11035.0,2258.0
2019-01,Volkmarsdorf,3961.0,1765.0,403.0
2019-01,Wiederitzsch,3719.0,2164.0,417.0
2019-02,Buchsommer,,,
2019-02,Böhlitz-Ehrenberg,6622.0,2054.0,122.0
2019-02,Fahrbibliothek,6341.0,2730.0,217.0
2019-02,Gohlis,21757.0,8248.0,437.0
2019-02,Grünau-Mitte,4019.0,1794.0,81.0
2019-02,Grünau-Nord,5755.0,1847.0,66.0
2019-02,Grünau-Süd,4589.0,1762.0,65.0
2019-02,Holzhausen,2095.0,519.0,48.0
2019-02,Lützschena-Stahmeln,940.0,272.0,21.0
2019-02,Mockau,3715.0,2901.0,70.0
2019-02,Onleihe,16880.0,12827.0,
2019-02,Overdrive,,,
2019-02,Paunsdorf,11754.0,3705.0,172.0
2019-02,Plagwitz,21277.0,8604.0,419.0
2019-02,Reudnitz,5603.0,2679.0,140.0
2019-02,Schönefeld,4546.0,2389.0,106.0
2019-02,Stadtbibliothek,258223.0,49812.0,2355.0
2019-02,Südvorstadt,21008.0,8173.0,382.0
2019-02,Volkmarsdorf,3166.0,1446.0,60.0
2019-02,Wiederitzsch,3821.0,1935.0,53.0
2019-03,Buchsommer,,,
2019-03,Böhlitz-Ehrenberg,7428.0,2801.0,68.0
2019-03,Fahrbibliothek,8697.0,3350.0,154.0
2019-03,Gohlis,22227.0,8209.0,259.0
2019-03,Grünau-Mitte,5103.0,2051.0,47.0
2019-03,Grünau-Nord,5846.0,1922.0,29.0
2019-03,Grünau-Süd,4284.0,1597.0,49.0
2019-03,Holzhausen,2281.0,462.0,25.0
2019-03,Lützschena-Stahmeln,1431.0,513.0,65.0
2019-03,Mockau,4200.0,2759.0,39.0
2019-03,Onleihe,18528.0,13969.0,
2019-03,Overdrive,,,
2019-03,Paunsdorf,11823.0,3977.0,75.0
2019-03,Plagwitz,22289.0,8956.0,320.0
2019-03,Reudnitz,5185.0,2254.0,97.0
2019-03,Schönefeld,4316.0,2118.0,61.0
2019-03,Stadtbibliothek,272954.0,51573.0,1645.0
2019-03,Südvorstadt,21321.0,8482.0,220.0
2019-03,Volkmarsdorf,2921.0,1734.0,69.0
2019-03,Wiederitzsch,4081.0,1999.0,40.0
2019-04,Buchsommer,,,
2019-04,Böhlitz-Ehrenberg,6788.0,2246.0,45.0
2019-04,Fahrbibliothek,9347.0,438.0,40.0
2019-04,Gohlis,20056.0,7615.0,209.0
2019-04,Grünau-Mitte,3983.0,1917.0,34.0
2019-04,Grünau-Nord,5860.0,2075.0,35.0
2019-04,Grünau-Süd,4173.0,1540.0,32.0
2019-04,Holzhausen,2499.0,494.0,27.0
2019-04,Lützschena-Stahmeln,1411.0,410.0,9.0
2019-04,Mockau,3649.0,2036.0,39.0
2019-04,Onleihe,17873.0,15617.0,
2019-04,Overdrive,,,
2019-04,Paunsdorf,10954.0,3441.0,56.0
2019-04,Plagwitz,19364.0,7799.0,204.0
2019-04,Reudnitz,4887.0,2197.0,59.0
2019-04,Schönefeld,4027.0,2089.0,56.0
2019-04,Stadtbibliothek,241649.0,43670.0,1082.0
2019-04,Südvorstadt,19093.0,7505.0,148.0
2019-04,Volkmarsdorf,3569.0,1819.0,65.0
2019-04,Wiederitzsch,3014.0,1390.0,12.0
2019-05,Buchsommer,,,
2019-05,Böhlitz-Ehrenberg,6594.0,2023.0,30.0
2019-05,Fahrbibliothek,7775.0,1755.0,65.0
2019-05,Gohlis,20859.0,8905.0,216.0
2019-05,Grünau-Mitte,4759.0,2178.0,36.0
2019-05,Grünau-Nord,5470.0,2095.0,31.0
2019-05,Grünau-Süd,4068.0,1769.0,52.0
2019-05,Holzhausen,2317.0,489.0,22.0
2019-05,Lützschena-Stahmeln,1082.0,374.0,6.0
2019-05,Mockau,3717.0,2844.0,49.0
2019-05,Onleihe,19278.0,13701.0,
2019-05,Overdrive,,,
2019-05,Paunsdorf,10757.0,3373.0,41.0
2019-05,Plagwitz,21084.0,8455.0,190.0
2019-05,Reudnitz,4568.0,2096.0,59.0
2019-05,Schönefeld,4049.0,1826.0,45.0
2019-05,Stadtbibliothek,255393.0,48573.0,959.0
2019-05,Südvorstadt,18999.0,8464.0,128.0
2019-05,Volkmarsdorf,2876.0,1585.0,30.0
2019-05,Wiederitzsch,3274.0,1725.0,33.0
2019-06,Buchsommer,,,
