Zeitraum,Bibliothek,Entleihungen,Besucher,aktivierte Ausweise
2019-01,Stadtbibliothek,275785,54786,12671
2019-01,Plagwitz,24050,9289,2163
2019-01,Südvorstadt,23965,11035,2258
2019-01,Gohlis,24091,8906,2672
2019-01,Volkmarsdorf,3961,1765,403
2019-01,Schönefeld,5323,2555,549
2019-01,Paunsdorf,12333,4158,946
2019-01,Reudnitz,6101,2395,768
2019-01,Mockau,4424,2808,515
2019-01,Grünau-Mitte,4798,2100,571
2019-01,Grünau-Nord,6612,2575,460
2019-01,Grünau-Süd,4408,1752,481
2019-01,Fahrbibliothek,9120,3627,1729
2019-01,Böhlitz-Ehrenberg,7361,2040,737
2019-01,Lützschena-Stahmeln,1535,402,171
2019-01,Wiederitzsch,3719,2164,417
2019-01,Holzhausen,2479,467,260
2019-01,Onleihe,18270,14238,
2019-01,Overdrive,,,
2019-01,Buchsommer,,,
2019-02,Stadtbibliothek,534008,104598,15026
2019-02,Plagwitz,45327,17893,2582
2019-02,Südvorstadt,44973,19208,2640
2019-02,Gohlis,45848,17154,3109
2019-02,Volkmarsdorf,7127,3211,463
2019-02,Schönefeld,9869,4944,655
2019-02,Paunsdorf,24087,7863,1118
2019-02,Reudnitz,11704,5074,908
2019-02,Mockau,8139,5709,585
2019-02,Grünau-Mitte,8817,3894,652
2019-02,Grünau-Nord,12367,4422,526
2019-02,Grünau-Süd,8997,3514,546
2019-02,Fahrbibliothek,15461,6357,1946
2019-02,Böhlitz-Ehrenberg,13983,4094,859
2019-02,Lützschena-Stahmeln,2475,674,192
2019-02,Wiederitzsch,7540,4099,470
2019-02,Holzhausen,4574,986,308
2019-02,Onleihe,35150,27065,
2019-02,Overdrive,,,
2019-02,Buchsommer,,,
2019-03,Stadtbibliothek,806962,156171,16671
2019-03,Plagwitz,67616,26849,2902
2019-03,Südvorstadt,66294,27690,2860
2019-03,Gohlis,68075,25363,3368
2019-03,Volkmarsdorf,10048,4945,532
2019-03,Schönefeld,14185,7062,716
2019-03,Paunsdorf,35910,11840,1193
2019-03,Reudnitz,16889,7328,1005
2019-03,Mockau,12339,8468,624
2019-03,Grünau-Mitte,13920,5945,699
2019-03,Grünau-Nord,18213,6344,555
2019-03,Grünau-Süd,13281,5111,595
2019-03,Fahrbibliothek,24158,9707,2100
2019-03,Böhlitz-Ehrenberg,21411,6895,927
2019-03,Lützschena-Stahmeln,3906,1187,257
2019-03,Wiederitzsch,11621,6098,510
2019-03,Holzhausen,6855,1448,333
2019-03,Onleihe,53678,41034,
2019-03,Overdrive,,,
2019-03,Buchsommer,,,
2019-04,Stadtbibliothek,1048611,199841,17753
2019-04,Plagwitz,86980,34648,3106
2019-04,Südvorstadt,85387,35195,3008
2019-04,Gohlis,88131,32978,3577
2019-04,Volkmarsdorf,13617,6764,597
2019-04,Schönefeld,18212,9151,772
2019-04,Paunsdorf,46864,15281,1249
2019-04,Reudnitz,21776,9525,1064
2019-04,Mockau,15988,10504,663
2019-04,Grünau-Mitte,17903,7862,733
2019-04,Grünau-Nord,24073,8419,590
2019-04,Grünau-Süd,17454,6651,627
2019-04,Fahrbibliothek,33505,10145,2140
2019-04,Böhlitz-Ehrenberg,28199,9141,972
2019-04,Lützschena-Stahmeln,5317,1597,266
2019-04,Wiederitzsch,14635,7488,522
2019-04,Holzhausen,9354,1942,360
2019-04,Onleihe,71551,56651,
2019-04,Overdrive,,,
2019-04,Buchsommer,,,
2019-05,Stadtbibliothek,1304004,248414,18712
2019-05,Plagwitz,108064,43103,3296
2019-05,Südvorstadt,104386,43659,3136
2019-05,Gohlis,108990,41883,3793
2019-05,Volkmarsdorf,16493,8349,627
2019-05,Schönefeld,22261,10977,817
2019-05,Paunsdorf,57621,18654,1290
2019-05,Reudnitz,26344,11621,1123
2019-05,Mockau,19705,13348,712
2019-05,Grünau-Mitte,22662,10040,769
2019-05,Grünau-Nord,29543,10514,621
2019-05,Grünau-Süd,21522,8420,679
2019-05,Fahrbibliothek,41280,11900,2205
2019-05,Böhlitz-Ehrenberg,34793,11164,1002
2019-05,Lützschena-Stahmeln,6399,1971,272
2019-05,Wiederitzsch,17909,9213,555
2019-05,Holzhausen,11671,2431,382
2019-05,Onleihe,90829,70352,
2019-05,Overdrive,,,
2019-05,Buchsommer,,,
2019-06,Stadtbibliothek,1511246,293359,19264
2019-06,Plagwitz,123279,49762,3407
2019-06,Südvorstadt,119713,50367,3219
2019-06,Gohlis,126779,47598,3975
2019-06,Volkmarsdorf,19244,9984,698
2019-06,Schönefeld,25781,13244,867
2019-06,Paunsdorf,65710,21621,1323
2019-06,Reudnitz,30282,13803,1236
2019-06,Mockau,22488,15699,726
2019-06,Grünau-Mitte,26205,11676,794
2019-06,Grünau-Nord,34745,12377,637
2019-06,Grünau-Süd,24678,9982,697
2019-06,Fahrbibliothek,48122,14830,2243
2019-06,Böhlitz-Ehrenberg,40213,13178,1053
2019-06,Lützschena-Stahmeln,7566,2331,276
2019-06,Wiederitzsch,19927,10430,593
2019-06,Holzhausen,13677,2844,396
2019-06,Onleihe,108754,84667,
2019-06,Overdrive,,,
2019-06,Buchsommer,,,
2019-07,Stadtbibliothek,1748318,342132,20149
2019-07,Plagwitz,143158,57942,3604
2019-07,Südvorstadt,138727,58111,3358
2019-07,Gohlis,148166,55923,4175
2019-07,Volkmarsdorf,22321,11544,716
2019-07,Schönefeld,30204,15833,910
2019-07,Paunsdorf,76381,25436,1368
2019-07,Reudnitz,35245,16304,1305
2019-07,Mockau,25527,17567,758
2019-07,Grünau-Mitte,30540,13777,828
2019-07,Grünau-Nord,40349,14318,664
2019-07,Grünau-Süd,28246,11584,723
2019-07,Fahrbibliothek,51749,15935,2281
2019-07,Böhlitz-Ehrenberg,46695,15745,1110
2019-07,Lützschena-Stahmeln,8533,2603,287
2019-07,Wiederitzsch,23368,12485,620
2019-07,Holzhausen,14266,2958,402
2019-07,Onleihe,130866,102359,
2019-07,Overdrive,,,
2019-07,Buchsommer,,,
2019-08,Stadtbibliothek,1995009,385341,21030
2019-08,Plagwitz,163193,65703,3768
2019-08,Südvorstadt,157337,65791,3466
2019-08,Gohlis,169101,63491,4336
2019-08,Volkmarsdorf,25471,12787,727
2019-08,Schönefeld,34232,17658,934
2019-08,Paunsdorf,85685,28623,1409
2019-08,Reudnitz,40054,18750,1358
2019-08,Mockau,28818,19628,772
2019-08,Grünau-Mitte,35086,15620,870
2019-08,Grünau-Nord,45257,15991,683
2019-08,Grünau-Süd,32105,13028,738
2019-08,Fahrbibliothek,56727,17979,2363
2019-08,Böhlitz-Ehrenberg,53473,15853,1157
2019-08,Lützschena-Stahmeln,9186,2785,294
2019-08,Wiederitzsch,25910,13911,645
2019-08,Holzhausen,16258,3444,409
2019-08,Onleihe,151904,120779,
2019-08,Overdrive,,,
2019-08,Buchsommer,4648,,
2019-09,Stadtbibliothek,2230977,427182,21752
2019-09,Plagwitz,182751,73625,3906
2019-09,Südvorstadt,176449,73098,3689
2019-09,Gohlis,189523,71146,4470
2019-09,Volkmarsdorf,28279,14126,750
2019-09,Schönefeld,38865,20380,1035
2019-09,Paunsdorf,95725,32185,1501
2019-09,Reudnitz,45083,21295,1402
2019-09,Mockau,32052,22008,796
2019-09,Grünau-Mitte,39648,17705,909
2019-09,Grünau-Nord,50620,19684,708
2019-09,Grünau-Süd,36094,14455,777
2019-09,Fahrbibliothek,63770,21569,2623
2019-09,Böhlitz-Ehrenberg,60036,20761,1279
2019-09,Lützschena-Stahmeln,9802,2908,295
2019-09,Wiederitzsch,28721,15443,660
2019-09,Holzhausen,18667,3966,418
2019-09,Onleihe,172150,136104,
2019-09,Overdrive,,,
2019-09,Buchsommer,4648,,
2019-10,Stadtbibliothek,2485214,473234,22689
2019-10,Plagwitz,204721,81996,4048
2019-10,Südvorstadt,195950,80702,3805
2019-10,Gohlis,210233,78941,4655
2019-10,Volkmarsdorf,31089,15806,782
2019-10,Schönefeld,43415,23301,1140
2019-10,Paunsdorf,105850,35800,1543
2019-10,Reudnitz,50355,23734,1453
2019-10,Mockau,35768,23966,822
2019-10,Grünau-Mitte,44258,20006,946
2019-10,Grünau-Nord,56140,21622,738
2019-10,Grünau-Süd,39597,16115,842
2019-10,Fahrbibliothek,69385,23471,2765
2019-10,Böhlitz-Ehrenberg,67140,23277,1351
2019-10,Lützschena-Stahmeln,10868,3202,301
2019-10,Wiederitzsch,32030,17127,678
2019-10,Holzhausen,20444,4417,426
2019-10,Onleihe,193515,151812,
2019-10,Overdrive,,,
2019-10,Buchsommer,4648,,
2019-11,Stadtbibliothek,2744484,523230,24478
2019-11,Plagwitz,226667,90902,4392
2019-11,Südvorstadt,215755,89282,4023
2019-11,Gohlis,231816,87341,5108
2019-11,Volkmarsdorf,34115,17281,810
2019-11,Schönefeld,47405,25517,1207
2019-11,Paunsdorf,115851,39416,1651
2019-11,Reudnitz,55687,26274,1554
2019-11,Mockau,39693,26587,866
2019-11,Grünau-Mitte,49601,22234,998
2019-11,Grünau-Nord,61574,24142,776
2019-11,Grünau-Süd,44156,18003,907
2019-11,Fahrbibliothek,77164,26272,2981
2019-11,Böhlitz-Ehrenberg,74541,26137,1439
2019-11,Lützschena-Stahmeln,12013,3485,315
2019-11,Wiederitzsch,35486,19196,704
2019-11,Holzhausen,22754,4980,457
2019-11,Onleihe,210560,166869,
2019-11,Overdrive,,,
2019-11,Buchsommer,4648,,
2019-12,Stadtbibliothek,3159437,556258,24815
2019-12,Plagwitz,285481,96622,4485
2019-12,Südvorstadt,271445,95324,4073
2019-12,Gohlis,290684,93421,5189
2019-12,Volkmarsdorf,42162,19748,822
2019-12,Schönefeld,59273,27666,1217
2019-12,Paunsdorf,138670,42336,1693
2019-12,Reudnitz,73248,28089,1574
2019-12,Mockau,47553,28304,875
2019-12,Grünau-Mitte,63407,23842,1022
2019-12,Grünau-Nord,73530,25785,795
2019-12,Grünau-Süd,56665,19463,923
2019-12,Fahrbibliothek,98216,27915,3001
2019-12,Böhlitz-Ehrenberg,86823,28076,1473
2019-12,Lützschena-Stahmeln,14965,3737,320
2019-12,Wiederitzsch,41529,20726,717
2019-12,Holzhausen,26606,5151,462
2019-12,Onleihe,229923,181371,
2019-12,Overdrive,1201,,
2019-12,Buchsommer,4648,,
