Haushaltsjahr;Haushaltsstufe 0;Fachgruppe;katkey;EXEMPLARANZ;PREIS;Bestellpreis
2024;10 Verwaltungsbibliothek;"0001 Bücher";1938683;1,00;"0,00";"0,00"
;;;1938691;1,00;"0,00";"0,00"
;;;1945184;1,00;"0,00";"0,00"
;;;1950811;1,00;"0,00";"0,00"
;;;1964064;1,00;53,00;59,00
;;;1966529;1,00;32,00;35,00
;;;1966531;1,00;24,00;27,00
;;;1966532;1,00;53,00;59,00
;;;1966533;1,00;34,00;38,00
;;;1966550;1,00;22,00;25,00
;;;1969274;1,00;36,00;40,00
;;;1971021;1,00;63,00;70,00
;;;1971328;1,00;179,00;199,00
;;;1972260;1,00;16,00;18,00
;;;1972264;1,00;23,00;25,00
;;;1972268;1,00;27,00;30,00
;;;1972270;1,00;53,00;59,00
;;;1972284;1,00;30,00;33,00
;;;1972290;1,00;31,00;35,00
;;;1972541;1,00;27,00;30,00
;;;1972542;1,00;27,00;30,00
;20 Bibliothek Plagwitz;"0001 Bücher";1213561;1,00;"0,00";"0,00"
;;;1213822;1,00;"0,00";"0,00"
;;;1273694;1,00;14,00;16,00
;;;1273766;1,00;"0,00";"0,00"
;;;1277009;1,00;"0,00";"0,00"
;;;1282250;1,00;"0,00";"0,00"
;;;1289883;1,00;"0,00";"0,00"
;;;1296745;1,00;"0,00";"0,00"
;;;1307130;1,00;"0,00";"0,00"
;;;1310537;1,00;6,00;7,00
;;;1323844;1,00;"0,00";"0,00"
;;;1327679;1,00;"0,00";"0,00"
;;;1330800;1,00;22,00;24,00
;;;1337608;2,00;12,00;14,00
;;;1337613;1,00;6,00;7,00
;;;1350377;1,00;"0,00";"0,00"
;;;1354437;1,00;12,00;13,00
;;;1358406;1,00;"0,00";"0,00"
;;;1364832;1,00;"0,00";"0,00"
;;;1372004;1,00;"0,00";"0,00"
;;;1374014;1,00;"0,00";"0,00"
;;;1393490;1,00;"0,00";"0,00"
;;;1413699;1,00;"0,00";"0,00"
;;;1420167;1,00;"0,00";"0,00"
;;;1444225;1,00;"0,00";"0,00"
;;;1446401;1,00;"0,00";"0,00"
;;;1459296;1,00;14,00;15,00
;;;1462875;1,00;"0,00";"0,00"
;;;1475883;1,00;12,00;14,00
;;;1481312;1,00;"0,00";"0,00"
;;;1485393;1,00;11,00;12,00
;;;1486107;2,00;12,00;14,00
;;;1486920;2,00;28,00;32,00
;;;1486936;1,00;6,00;7,00
;;;1488485;2,00;12,00;14,00
;;;1488502;1,00;"0,00";"0,00"
;;;1489689;1,00;"0,00";"0,00"
;;;1492728;1,00;"0,00";"0,00"
;;;1492899;1,00;"0,00";"0,00"
;;;1493678;1,00;"0,00";"0,00"
;;;1493714;1,00;"0,00";"0,00"
;;;1499257;1,00;6,00;7,00
;;;1500067;1,00;"0,00";"0,00"
;;;1505295;1,00;"0,00";"0,00"
;;;1505798;1,00;13,00;15,00
;;;1510798;1,00;"0,00";"0,00"
;;;1510819;1,00;"0,00";"0,00"
;;;1513405;2,00;12,00;14,00
;;;1513671;1,00;14,00;15,00
;;;1549429;1,00;11,00;12,00
;;;1551581;1,00;9,00;10,00
;;;1552877;2,00;36,00;40,00
;;;1562626;1,00;13,00;14,00
;;;1562629;1,00;13,00;14,00
;;;1562689;1,00;13,00;14,00
;;;1562763;1,00;13,00;14,00
;;;1562995;1,00;13,00;14,00
;;;1562999;1,00;13,00;14,00
;;;1565555;1,00;"0,00";"0,00"
;;;1565980;1,00;9,00;10,00
;;;1566718;1,00;13,00;14,00
;;;1569013;1,00;10,00;14,00
;;;1569102;1,00;"0,00";"0,00"
;;;1570385;1,00;"0,00";"0,00"
;;;1573619;1,00;"0,00";"0,00"
;;;1575826;1,00;14,00;14,00
;;;1576967;1,00;"0,00";"0,00"
;;;1577061;1,00;6,00;7,00
;;;1578276;1,00;"0,00";"0,00"
;;;1580816;2,00;12,00;14,00
;;;1583989;1,00;9,00;10,00
;;;1585891;1,00;"0,00";"0,00"
;;;1596596;1,00;13,00;14,00
;;;1597275;1,00;"0,00";"0,00"
;;;1598759;1,00;"0,00";"0,00"
;;;1600160;1,00;13,00;14,00
;;;1600220;1,00;11,00;12,00
;;;1601889;1,00;14,00;16,00
;;;1601903;1,00;4,00;5,00
;;;1602463;1,00;14,00;15,00
;;;1603440;1,00;6,00;7,00
;;;1603480;2,00;30,00;34,00
;;;1603652;1,00;12,00;13,00
;;;1604404;1,00;13,00;14,00
;;;1605584;1,00;13,00;14,00
;;;1605589;1,00;14,00;15,00
;;;1606687;1,00;6,00;7,00
;;;1608950;1,00;14,00;15,00
;;;1612579;2,00;22,00;24,00
;;;1613429;1,00;14,00;15,00
;;;1616507;1,00;14,00;16,00
;;;1617739;1,00;13,00;14,00
;;;1619510;1,00;12,00;13,00
;;;1620490;1,00;9,00;10,00
;;;1620565;2,00;28,00;30,00
;;;1623437;1,00;11,00;12,00
;;;1631101;1,00;6,00;7,00
;;;1634612;1,00;14,00;15,00
;;;1634958;1,00;11,00;12,00
;;;1641206;1,00;16,00;15,00
;;;1642156;1,00;13,00;14,00
;;;1642419;1,00;6,00;7,00
;;;1642868;1,00;12,00;14,00
;;;1642870;1,00;12,00;14,00
;;;1642877;1,00;12,00;14,00
;;;1642883;1,00;12,00;14,00
;;;1642885;1,00;12,00;14,00
