Zeitraum,Bibliothek,Entleihungen,Besucher,aktivierte Ausweise
2020-01,Stadtbibliothek,281398,54996,13604
2020-01,Plagwitz,23456,10044,2403
2020-01,Südvorstadt,22872,10158,2280
2020-01,Gohlis,24168,9334,2749
2020-01,Volkmarsdorf,3765,1847,402
2020-01,Schönefeld,5392,2946,601
2020-01,Paunsdorf,11356,4446,876
2020-01,Reudnitz,5764,4389,789
2020-01,Mockau,4002,2557,478
2020-01,Grünau-Mitte,6364,2806,614
2020-01,Grünau-Nord,5694,2912,487
2020-01,Grünau-Süd,4311,1984,523
2020-01,Fahrbibliothek,9169,3068,1704
2020-01,Böhlitz-Ehrenberg,7645,2688,801
2020-01,Lützschena-Stahmeln,1243,332,169
2020-01,Wiederitzsch,3898,2140,420
2020-01,Holzhausen,1695,440,284
2020-01,Overdrive,263,,
2020-01,Onleihe,18559,,
2020-01,Buchsommer,,,
2020-02,Stadtbibliothek,554049,108292,16008
2020-02,Plagwitz,44959,19169,2840
2020-02,Südvorstadt,43210,18779,2628
2020-02,Gohlis,45822,17782,3192
2020-02,Volkmarsdorf,7404,3967,479
2020-02,Schönefeld,10201,6197,723
2020-02,Paunsdorf,21456,7572,994
2020-02,Reudnitz,11439,11548,935
2020-02,Mockau,7605,4916,560
2020-02,Grünau-Mitte,11712,5174,685
2020-02,Grünau-Nord,10924,5094,568
2020-02,Grünau-Süd,8311,3723,612
2020-02,Fahrbibliothek,15666,5432,1937
2020-02,Böhlitz-Ehrenberg,14923,5212,926
2020-02,Lützschena-Stahmeln,2377,712,202
2020-02,Wiederitzsch,7477,4138,462
2020-02,Holzhausen,3906,883,318
2020-02,Overdrive,534,,
2020-02,Onleihe,37870,,
2020-02,Buchsommer,,,
2020-03,Stadtbibliothek,735774,132976,17144
2020-03,Plagwitz,57424,24074,3077
2020-03,Südvorstadt,54092,23840,2833
2020-03,Gohlis,58067,22283,3375
2020-03,Volkmarsdorf,9341,5562,523
2020-03,Schönefeld,12933,7670,775
2020-03,Paunsdorf,27638,9612,1062
2020-03,Reudnitz,14122,12407,1007
2020-03,Mockau,9880,6609,604
2020-03,Grünau-Mitte,14508,6427,730
2020-03,Grünau-Nord,13586,6411,589
2020-03,Grünau-Süd,10653,4795,636
2020-03,Fahrbibliothek,20350,7237,2051
2020-03,Böhlitz-Ehrenberg,18838,6371,954
2020-03,Lützschena-Stahmeln,3087,911,245
2020-03,Wiederitzsch,8923,5137,476
2020-03,Holzhausen,5125,1125,333
2020-03,Overdrive,867,,
2020-03,Onleihe,63737,16510,
2020-03,Buchsommer,,,
2020-04,Stadtbibliothek,776781,134051,17432
2020-04,Plagwitz,57705,24314,3118
2020-04,Südvorstadt,54459,24131,2868
2020-04,Gohlis,58403,22283,3404
2020-04,Volkmarsdorf,9848,5562,525
2020-04,Schönefeld,13373,7670,779
2020-04,Paunsdorf,28674,9918,1070
2020-04,Reudnitz,14180,12407,1017
2020-04,Mockau,9915,6609,604
2020-04,Grünau-Mitte,14693,6427,735
2020-04,Grünau-Nord,13975,6411,590
2020-04,Grünau-Süd,10760,4795,321
2020-04,Fahrbibliothek,20376,7237,2063
2020-04,Böhlitz-Ehrenberg,18971,6371,961
2020-04,Lützschena-Stahmeln,3145,911,246
2020-04,Wiederitzsch,8989,5137,482
2020-04,Holzhausen,5175,1125,336
2020-04,Overdrive,1318,879,
2020-04,Onleihe,94831,31844,
2020-04,weitere Online-Dienste,96843,1610608,
2020-04,Buchsommer,,,
2020-05,Stadtbibliothek,854676,153397,19123
2020-05,Plagwitz,70693,29991,3224
2020-05,Südvorstadt,67213,29171,2940
2020-05,Gohlis,72031,27749,3515
2020-05,Volkmarsdorf,11029,6438,534
2020-05,Schönefeld,13603,7670,784
2020-05,Paunsdorf,36200,12706,1101
2020-05,Reudnitz,15890,7048,1047
2020-05,Mockau,11150,7637,622
2020-05,Grünau-Mitte,19803,8246,769
2020-05,Grünau-Nord,14318,6411,596
2020-05,Grünau-Süd,10826,4795,645
2020-05,Fahrbibliothek,21545,7237,2100
2020-05,Böhlitz-Ehrenberg,23726,7958,993
2020-05,Lützschena-Stahmeln,3175,911,248
2020-05,Wiederitzsch,9063,5137,486
2020-05,Holzhausen,5192,1125,342
2020-05,Overdrive,1655,1107,
2020-05,Onleihe,121404,43421,
2020-05,weitere Online-Dienste,118949,1944411,
2020-05,Buchsommer,,,
2020-06,Stadtbibliothek,999827,182109,18673
2020-06,Plagwitz,87006,36621,3365
2020-06,Südvorstadt,81777,35144,3029
2020-06,Gohlis,88614,34192,3654
2020-06,Volkmarsdorf,12922,7476,542
2020-06,Schönefeld,16683,9246,806
2020-06,Paunsdorf,43785,15816,1145
2020-06,Reudnitz,19763,9621,1089
2020-06,Mockau,14013,9342,647
2020-06,Grünau-Mitte,23701,9837,811
2020-06,Grünau-Nord,17969,8176,606
2020-06,Grünau-Süd,13781,5918,663
2020-06,Fahrbibliothek,23512,7418,2118
2020-06,Böhlitz-Ehrenberg,28322,9557,1025
2020-06,Lützschena-Stahmeln,4077,1176,253
2020-06,Wiederitzsch,10093,5137,496
2020-06,Holzhausen,7131,1590,348
2020-06,Overdrive,1960,1329,
2020-06,Onleihe,143834,52843,
2020-06,weitere Online-Dienste,138692,2247852,
2020-06,Buchsommer,,,
2020-07,Stadtbibliothek,1147420,208812,19397
2020-07,Plagwitz,101509,43545,3510
2020-07,Südvorstadt,95065,41183,3135
2020-07,Gohlis,103240,39849,3794
2020-07,Volkmarsdorf,14763,8742,563
2020-07,Schönefeld,19265,11078,828
2020-07,Paunsdorf,50830,18639,1199
2020-07,Reudnitz,22822,11124,1135
2020-07,Mockau,16537,11893,668
2020-07,Grünau-Mitte,28165,11756,836
2020-07,Grünau-Nord,20954,9457,615
2020-07,Grünau-Süd,16378,7082,693
2020-07,Fahrbibliothek,26314,7938,2141
2020-07,Böhlitz-Ehrenberg,33062,11325,1087
2020-07,Lützschena-Stahmeln,4770,1397,255
2020-07,Wiederitzsch,10245,5137,503
2020-07,Holzhausen,7452,1671,358
2020-07,Overdrive,2344,1552,
2020-07,Onleihe,167638,62270,
2020-07,weitere Online-Dienste,156740,2552286,
2020-07,Buchsommer,,,
2020-08,Stadtbibliothek,1321329,243391,20118
2020-08,Plagwitz,117128,50295,3634
2020-08,Südvorstadt,108942,47848,3228
2020-08,Gohlis,120226,45715,3942
2020-08,Volkmarsdorf,16906,10097,587
2020-08,Schönefeld,22932,13120,853
2020-08,Paunsdorf,59068,21867,1237
2020-08,Reudnitz,26901,12886,1174
2020-08,Mockau,19272,14464,694
2020-08,Grünau-Mitte,32278,13511,875
2020-08,Grünau-Nord,25203,10940,622
2020-08,Grünau-Süd,19877,8188,711
2020-08,Fahrbibliothek,27579,7958,2169
2020-08,Böhlitz-Ehrenberg,38531,16794,1121
2020-08,Lützschena-Stahmeln,5496,1596,261
2020-08,Wiederitzsch,11996,5882,513
2020-08,Holzhausen,9355,2098,370
2020-08,Buchsommer,4918,,
2020-08,Overdrive,2719,1791,
2020-08,Onleihe,192608,71551,
2020-08,weitere Online-Dienste,176677,2847401,
2020-09,Stadtbibliothek,1500008,276877,20832
2020-09,Plagwitz,132902,56901,3777
