Zeitraum,Bibliothek,Entleihungen,Besucher,aktivierte Ausweise
2023-01,Böhlitz-Ehrenberg,6531.0,2401.0,819.0
2023-01,Fahrbibliothek,5698.0,2287.0,1374.0
2023-01,Gohlis,19746.0,6929.0,3105.0
2023-01,Grünau-Mitte,3693.0,2015.0,594.0
2023-01,Grünau-Nord,3777.0,1740.0,416.0
2023-01,Grünau-Süd,3893.0,1668.0,510.0
2023-01,Holzhausen,2319.0,510.0,304.0
2023-01,Lützschena-Stahmeln,1240.0,354.0,193.0
2023-01,Mockau,3081.0,2064.0,507.0
2023-01,Onleihe,29288.0,16475.0,
2023-01,Overdrive,1040.0,725.0,
2023-01,Paunsdorf,7530.0,3513.0,864.0
2023-01,Plagwitz,17941.0,9856.0,2736.0
2023-01,Reudnitz,5410.0,2822.0,924.0
2023-01,Schönefeld,2994.0,2038.0,557.0
2023-01,Stadtbibliothek,210073.0,38883.0,14071.0
2023-01,Südvorstadt,14989.0,7442.0,2173.0
2023-01,Volkmarsdorf,2739.0,1732.0,383.0
2023-01,Wiederitzsch,2677.0,920.0,439.0
2023-01,weitere Online-Dienste,46504.0,346068.0,
2023-02,Böhlitz-Ehrenberg,5426.0,2331.0,101.0
2023-02,Fahrbibliothek,4224.0,113.0,169.0
2023-02,Gohlis,17264.0,6411.0,470.0
2023-02,Grünau-Mitte,3581.0,1701.0,87.0
2023-02,Grünau-Nord,2957.0,1518.0,46.0
2023-02,Grünau-Süd,3392.0,1826.0,82.0
2023-02,Holzhausen,1517.0,390.0,31.0
2023-02,Lützschena-Stahmeln,1004.0,312.0,27.0
2023-02,Mockau,3129.0,2427.0,101.0
2023-02,Onleihe,27834.0,15171.0,
2023-02,Overdrive,1024.0,722.0,
2023-02,Paunsdorf,7273.0,3395.0,171.0
2023-02,Plagwitz,15755.0,8780.0,515.0
2023-02,Reudnitz,4440.0,2873.0,147.0
2023-02,Schönefeld,2690.0,2182.0,94.0
2023-02,Stadtbibliothek,201001.0,38238.0,2297.0
2023-02,Südvorstadt,13283.0,6521.0,341.0
2023-02,Volkmarsdorf,2572.0,1435.0,77.0
2023-02,Wiederitzsch,1833.0,606.0,49.0
2023-02,weitere Online-Dienste,47641.0,304005.0,
2023-03,Böhlitz-Ehrenberg,6065.0,2353.0,85.0
2023-03,Fahrbibliothek,6290.0,1699.0,148.0
2023-03,Gohlis,19589.0,8012.0,363.0
2023-03,Grünau-Mitte,3815.0,1913.0,45.0
2023-03,Grünau-Nord,3246.0,2139.0,28.0
2023-03,Grünau-Süd,4051.0,2170.0,56.0
2023-03,Holzhausen,2028.0,478.0,24.0
2023-03,Lützschena-Stahmeln,1245.0,350.0,50.0
2023-03,Mockau,3173.0,2290.0,62.0
2023-03,Onleihe,29548.0,16700.0,
2023-03,Overdrive,1160.0,803.0,
2023-03,Paunsdorf,7121.0,3844.0,110.0
2023-03,Plagwitz,15816.0,9007.0,338.0
2023-03,Reudnitz,5007.0,3215.0,128.0
2023-03,Schönefeld,2989.0,3337.0,120.0
2023-03,Stadtbibliothek,218854.0,40554.0,1755.0
2023-03,Südvorstadt,14264.0,7837.0,251.0
2023-03,Volkmarsdorf,2605.0,1932.0,39.0
2023-03,Wiederitzsch,2658.0,739.0,44.0
2023-03,weitere Online-Dienste,53045.0,319987.0,
2023-04,Böhlitz-Ehrenberg,5433.0,2506.0,51.0
2023-04,Fahrbibliothek,5192.0,2226.0,56.0
2023-04,Gohlis,16904.0,6359.0,200.0
2023-04,Grünau-Mitte,3154.0,1412.0,25.0
2023-04,Grünau-Nord,2714.0,1490.0,20.0
2023-04,Grünau-Süd,3752.0,1800.0,37.0
2023-04,Holzhausen,1453.0,382.0,23.0
2023-04,Lützschena-Stahmeln,991.0,362.0,13.0
2023-04,Mockau,2547.0,1957.0,45.0
2023-04,Onleihe,28461.0,15901.0,
2023-04,Overdrive,1017.0,759.0,
2023-04,Paunsdorf,6425.0,2985.0,59.0
2023-04,Plagwitz,13666.0,5657.0,199.0
2023-04,Reudnitz,3913.0,2281.0,50.0
2023-04,Schönefeld,2424.0,2092.0,30.0
2023-04,Stadtbibliothek,191399.0,35826.0,1157.0
2023-04,Südvorstadt,13029.0,6158.0,140.0
2023-04,Volkmarsdorf,1940.0,1398.0,22.0
2023-04,Wiederitzsch,1852.0,467.0,17.0
2023-04,weitere Online-Dienste,43010.0,276583.0,
2023-05,Böhlitz-Ehrenberg,4454.0,1598.0,30.0
2023-05,Fahrbibliothek,4549.0,2230.0,62.0
2023-05,Gohlis,16595.0,6045.0,182.0
2023-05,Grünau-Mitte,3343.0,1417.0,24.0
2023-05,Grünau-Nord,3366.0,1459.0,16.0
2023-05,Grünau-Süd,3632.0,2174.0,27.0
2023-05,Holzhausen,1114.0,262.0,9.0
2023-05,Lützschena-Stahmeln,842.0,230.0,12.0
2023-05,Mockau,2729.0,1693.0,37.0
2023-05,Onleihe,27101.0,15760.0,
2023-05,Overdrive,1054.0,790.0,
2023-05,Paunsdorf,6566.0,3467.0,50.0
2023-05,Plagwitz,13692.0,5142.0,244.0
2023-05,Reudnitz,4357.0,2479.0,69.0
2023-05,Schönefeld,2544.0,2246.0,39.0
2023-05,Stadtbibliothek,188828.0,32579.0,890.0
2023-05,Südvorstadt,11953.0,6014.0,119.0
2023-05,Volkmarsdorf,2347.0,1463.0,58.0
2023-05,Wiederitzsch,1957.0,465.0,12.0
2023-05,weitere Online-Dienste,44879.0,264088.0,
2023-06,Böhlitz-Ehrenberg,5424.0,2257.0,49.0
2023-06,Fahrbibliothek,5649.0,2558.0,56.0
2023-06,Gohlis,17576.0,6988.0,233.0
2023-06,Grünau-Mitte,3176.0,1731.0,45.0
2023-06,Grünau-Nord,2895.0,1315.0,13.0
2023-06,Grünau-Süd,3068.0,1581.0,18.0
2023-06,Holzhausen,1959.0,505.0,37.0
2023-06,Lützschena-Stahmeln,1161.0,325.0,6.0
2023-06,Mockau,2986.0,1699.0,36.0
2023-06,Onleihe,26931.0,15312.0,
2023-06,Overdrive,1022.0,759.0,
2023-06,Paunsdorf,6346.0,3300.0,43.0
2023-06,Plagwitz,14623.0,7538.0,233.0
2023-06,Reudnitz,4032.0,2951.0,50.0
2023-06,Schönefeld,2895.0,2491.0,41.0
2023-06,Stadtbibliothek,193155.0,33536.0,834.0
2023-06,Südvorstadt,11657.0,6814.0,125.0
2023-06,Volkmarsdorf,2202.0,1430.0,41.0
2023-06,Wiederitzsch,2419.0,518.0,21.0
2023-06,weitere Online-Dienste,60788.0,269102.0,
2023-07,Böhlitz-Ehrenberg,5632.0,2438.0,56.0
2023-07,Fahrbibliothek,2352.0,684.0,33.0
2023-07,Gohlis,18394.0,7429.0,203.0
2023-07,Grünau-Mitte,3876.0,1884.0,47.0
2023-07,Grünau-Nord,2991.0,1584.0,26.0
2023-07,Grünau-Süd,3912.0,1887.0,30.0
2023-07,Holzhausen,1233.0,276.0,11.0
2023-07,Lützschena-Stahmeln,1106.0,353.0,7.0
2023-07,Mockau,2764.0,1889.0,32.0
2023-07,Onleihe,31576.0,17078.0,
2023-07,Overdrive,1328.0,911.0,
2023-07,Paunsdorf,7287.0,3653.0,48.0
2023-07,Plagwitz,15087.0,8706.0,206.0
2023-07,Reudnitz,4416.0,2797.0,62.0
2023-07,Schönefeld,2752.0,2497.0,48.0
2023-07,Stadtbibliothek,201166.0,35060.0,996.0
2023-07,Südvorstadt,13191.0,7109.0,133.0
2023-07,Volkmarsdorf,2084.0,1349.0,14.0
2023-07,Wiederitzsch,2401.0,548.0,36.0
2023-07,weitere Online-Dienste,51633.0,296361.0,
2023-08,Buchsommer,5838.0,,
2023-08,Böhlitz-Ehrenberg,5668.0,2346.0,87.0
2023-08,Fahrbibliothek,163.0,1143.0,58.0
2023-08,Gohlis,18609.0,6887.0,161.0
2023-08,Grünau-Mitte,3758.0,1846.0,44.0
2023-08,Grünau-Nord,3341.0,2095.0,25.0
2023-08,Grünau-Süd,3675.0,1854.0,30.0
2023-08,Holzhausen,1336.0,316.0,9.0
2023-08,Lützschena-Stahmeln,868.0,230.0,6.0
2023-08,Mockau,3055.0,1849.0,26.0
2023-08,Onleihe,30362.0,17352.0,
2023-08,Overdrive,1455.0,1067.0,
2023-08,Paunsdorf,7027.0,3535.0,45.0
2023-08,Plagwitz,14986.0,7874.0,184.0
2023-08,Reudnitz,4359.0,2923.0,61.0
2023-08,Schönefeld,3077.0,2262.0,40.0
2023-08,Stadtbibliothek,208742.0,35657.0,1088.0
2023-08,Südvorstadt,12306.0,6677.0,116.0
2023-08,Volkmarsdorf,2107.0,1303.0,23.0
2023-08,Wiederitzsch,1558.0,386.0,22.0
2023-08,weitere Online-Dienste,40379.0,301000.0,
2023-09,Buchsommer,0.0,,
2023-09,Böhlitz-Ehrenberg,4925.0,1833.0,45.0
2023-09,Fahrbibliothek,7893.0,2429.0,208.0
2023-09,Gohlis,16102.0,6677.0,156.0
2023-09,Grünau-Mitte,3324.0,1585.0,26.0
2023-09,Grünau-Nord,2493.0,1199.0,13.0
2023-09,Grünau-Süd,3241.0,3121.0,73.0
2023-09,Holzhausen,1666.0,400.0,12.0
2023-09,Lützschena-Stahmeln,1132.0,273.0,1.0
2023-09,Mockau,2066.0,1202.0,33.0
2023-09,Onleihe,27589.0,16299.0,
2023-09,Overdrive,1357.0,956.0,
2023-09,Paunsdorf,6680.0,3508.0,56.0
2023-09,Plagwitz,14958.0,8393.0,156.0
2023-09,Reudnitz,3813.0,2552.0,64.0
2023-09,Schönefeld,2902.0,2337.0,32.0
2023-09,Stadtbibliothek,201202.0,34545.0,876.0
2023-09,Südvorstadt,12027.0,6161.0,76.0
2023-09,Volkmarsdorf,1963.0,1293.0,15.0
2023-09,Wiederitzsch,2689.0,500.0,13.0
2023-09,weitere Online-Dienste,52851.0,282577.0,
2023-10,Buchsommer,0.0,,
2023-10,Böhlitz-Ehrenberg,5051.0,1979.0,37.0
2023-10,Fahrbibliothek,4187.0,1110.0,17.0
2023-10,Gohlis,18861.0,6628.0,180.0
2023-10,Grünau-Mitte,3697.0,2123.0,45.0
2023-10,Grünau-Nord,2623.0,1588.0,20.0
2023-10,Grünau-Süd,3275.0,2004.0,29.0
2023-10,Holzhausen,1513.0,448.0,13.0
2023-10,Lützschena-Stahmeln,650.0,163.0,6.0
2023-10,Mockau,2501.0,1770.0,18.0
2023-10,Onleihe,30975.0,17209.0,
2023-10,Overdrive,1438.0,1029.0,
2023-10,Paunsdorf,7074.0,3743.0,125.0
2023-10,Plagwitz,16716.0,8978.0,188.0
2023-10,Reudnitz,4065.0,2596.0,53.0
2023-10,Schönefeld,3063.0,2788.0,83.0
2023-10,Stadtbibliothek,192561.0,34503.0,916.0
2023-10,Südvorstadt,12702.0,6508.0,107.0
2023-10,Volkmarsdorf,2058.0,1453.0,17.0
2023-10,Wiederitzsch,1.0,0.0,2.0
2023-10,weitere Online-Dienste,65287.0,301366.0,
2023-11,Buchsommer,0.0,,
2023-11,Böhlitz-Ehrenberg,5983.0,2184.0,105.0
2023-11,Fahrbibliothek,5138.0,2577.0,108.0
2023-11,Gohlis,19464.0,7364.0,241.0
2023-11,Grünau-Mitte,3464.0,1933.0,35.0
2023-11,Grünau-Nord,2715.0,1472.0,28.0
2023-11,Grünau-Süd,3234.0,2401.0,54.0
2023-11,Holzhausen,2112.0,551.0,62.0
2023-11,Lützschena-Stahmeln,1137.0,307.0,38.0
2023-11,Mockau,2782.0,1784.0,71.0
2023-11,Onleihe,27773.0,16062.0,
2023-11,Overdrive,1308.0,952.0,
2023-11,Paunsdorf,7375.0,3601.0,34.0
2023-11,Plagwitz,17521.0,9142.0,422.0
2023-11,Reudnitz,4755.0,3172.0,138.0
2023-11,Schönefeld,3083.0,3375.0,103.0
2023-11,Stadtbibliothek,202552.0,37694.0,1968.0
2023-11,Südvorstadt,12903.0,7512.0,255.0
2023-11,Volkmarsdorf,2621.0,1539.0,64.0
2023-11,Wiederitzsch,2907.0,589.0,45.0
2023-11,weitere Online-Dienste,45825.0,312508.0,
2023-12,Buchsommer,0.0,,
2023-12,Böhlitz-Ehrenberg,11622.0,1700.0,39.0
2023-12,Fahrbibliothek,14748.0,1760.0,27.0
2023-12,Gohlis,44728.0,4864.0,356.0
2023-12,Grünau-Mitte,11557.0,1424.0,24.0
2023-12,Grünau-Nord,7675.0,1004.0,11.0
2023-12,Grünau-Süd,9616.0,1292.0,16.0
2023-12,Holzhausen,3681.0,162.0,4.0
2023-12,Lützschena-Stahmeln,2397.0,171.0,2.0
2023-12,Mockau,7720.0,1376.0,14.0
2023-12,Onleihe,28762.0,16156.0,
2023-12,Overdrive,1542.0,1052.0,
2023-12,Paunsdorf,16659.0,2402.0,91.0
2023-12,Plagwitz,43363.0,5100.0,76.0
2023-12,Reudnitz,15966.0,2421.0,66.0
2023-12,Schönefeld,8297.0,1818.0,-14.0
2023-12,Stadtbibliothek,340975.0,25391.0,501.0
2023-12,Südvorstadt,37419.0,4786.0,36.0
2023-12,Volkmarsdorf,7992.0,1357.0,9.0
2023-12,Wiederitzsch,4828.0,267.0,9.0
2023-12,weitere Online-Dienste,55933.0,285316.0,
2023-01,Website,,58194,
2023-01,Online-Katalog,,242666,
2023-01,Munzinger,4455,227,
2023-01,Linkedin Learn,714,155,
2023-01,filmfriend,2512,3477,
2023-01,Code it!,28,,
2023-01,Pressreader,48784,21539,
2023-01,TigerBooks,270,728,
2023-01,Social Media,,18931,
2023-01,Naxos,2445,378,
2023-01,nkoda,82,,
2023-01,Genios,5226,,
2023-01,Brockhaus,1592,,
2023-01,Medici.tv,352,,
2023-01,linguaTV,408,,
