Haushaltsjahr;Haushaltsstufe 0;Fachgruppe;katkey;EXEMPLARANZ;PREIS;Bestellpreis
2023;10 Verwaltungsbibliothek;"0001 Bücher";1904874;1,00;"0,00";"0,00"
;;;1914959;1,00;21,00;23,00
;;;1918019;1,00;"0,00";"0,00"
;;;1918046;1,00;"0,00";"0,00"
;;;1918047;1,00;"0,00";"0,00"
;;;1918048;1,00;"0,00";"0,00"
;;;1918049;1,00;"0,00";"0,00"
;;;1918474;1,00;"0,00";"0,00"
;;;1919514;1,00;15,00;17,00
;;;1921809;1,00;62,00;69,00
;;;1924551;1,00;38,00;42,00
;;;1924552;1,00;49,00;54,00
;;;1936095;1,00;116,00;129,00
;;;1936106;1,00;18,00;20,00
;;;1936597;1,00;44,00;49,00
;;;1936603;1,00;27,00;30,00
;;;1936643;1,00;71,00;79,00
;;;1936847;1,00;45,00;50,00
;;;1936848;1,00;16,00;18,00
;;;1937688;1,00;125,00;139,00
;;;1937689;1,00;107,00;119,00
;;"0005 Spiele";1937687;1,00;18,00;20,00
;20 Bibliothek Plagwitz;"0001 Bücher";1215218;1,00;143,00;159,00
;;;1243337;1,00;14,00;16,00
;;;1271312;1,00;"0,00";"0,00"
;;;1296771;1,00;"0,00";"0,00"
;;;1310540;1,00;6,00;7,00
;;;1342879;1,00;8,00;9,00
;;;1354542;1,00;"0,00";"0,00"
;;;1358406;1,00;"0,00";"0,00"
;;;1360190;1,00;11,00;12,00
;;;1393355;1,00;11,00;12,00
;;;1402962;1,00;11,00;12,00
;;;1403424;1,00;"0,00";"0,00"
;;;1414149;1,00;"0,00";"0,00"
;;;1426001;1,00;"0,00";"0,00"
;;;1429816;1,00;5,00;6,00
;;;1437735;1,00;15,00;17,00
;;;1446414;1,00;"0,00";"0,00"
;;;1452063;1,00;13,00;15,00
;;;1483663;1,00;12,00;13,00
;;;1485394;2,00;22,00;24,00
;;;1485422;1,00;11,00;12,00
;;;1485424;2,00;22,00;24,00
;;;1486940;1,00;6,00;7,00
;;;1493567;1,00;6,00;7,00
;;;1497504;2,00;24,00;26,00
;;;1498040;1,00;8,00;9,00
;;;1499685;1,00;13,00;15,00
;;;1507169;1,00;12,00;13,00
;;;1507266;1,00;14,00;16,00
;;;1508782;1,00;18,00;20,00
;;;1549073;1,00;13,00;15,00
;;;1549918;1,00;13,00;15,00
;;;1550715;1,00;15,00;17,00
;;;1551050;1,00;"0,00";"0,00"
;;;1551063;1,00;13,00;15,00
;;;1552877;2,00;36,00;40,00
;;;1560120;2,00;22,00;24,00
;;;1561060;1,00;14,00;16,00
;;;1562688;1,00;13,00;14,00
;;;1562769;1,00;13,00;14,00
;;;1563053;1,00;12,00;13,00
;;;1563978;1,00;12,00;13,00
;;;1566526;1,00;12,00;13,00
;;;1569017;1,00;18,00;20,00
;;;1572242;1,00;18,00;20,00
;;;1573681;2,00;11,00;12,00
;;;1574364;1,00;12,00;13,00
;;;1575826;2,00;26,00;28,00
;;;1578267;1,00;22,00;25,00
;;;1583712;1,00;12,00;13,00
;;;1585985;1,00;12,00;13,00
;;;1586314;1,00;13,00;15,00
;;;1587841;2,00;30,00;34,00
;;;1589764;1,00;"0,00";"0,00"
;;;1595241;1,00;18,00;20,00
;;;1596293;1,00;14,00;15,00
;;;1598122;1,00;15,00;17,00
;;;1598759;2,00;22,00;24,00
;;;1599059;1,00;"0,00";"0,00"
;;;1599543;1,00;11,00;12,00
;;;1600220;2,00;22,00;24,00
;;;1602481;1,00;18,00;20,00
;;;1603480;2,00;28,00;32,00
;;;1603677;1,00;12,00;13,00
;;;1604405;1,00;13,00;14,00
;;;1605561;1,00;14,00;15,00
;;;1605584;1,00;13,00;14,00
;;;1605585;4,00;56,00;56,00
