Zeitraum,Bibliothek,Entleihungen,Besucher,aktivierte Ausweise
2017-01,Buchsommer,,,
2017-01,Böhlitz-Ehrenberg,8008.0,2690.0,681.0
2017-01,Fahrbibliothek,7170.0,2864.0,1322.0
2017-01,Gohlis,26074.0,8910.0,2356.0
2017-01,Grünau-Mitte,7076.0,2966.0,680.0
2017-01,Grünau-Nord,5612.0,2076.0,407.0
2017-01,Grünau-Süd,5565.0,2205.0,437.0
2017-01,Holzhausen,2602.0,436.0,225.0
2017-01,Lützschena-Stahmeln,1571.0,417.0,163.0
2017-01,Mockau,3938.0,2669.0,454.0
2017-01,Onleihe,11009.0,11920.0,
2017-01,Paunsdorf,11529.0,3963.0,828.0
2017-01,Plagwitz,575.0,0.0,1334.0
2017-01,Reudnitz,6341.0,2512.0,664.0
2017-01,Schönefeld,5408.0,2508.0,583.0
2017-01,Stadtbibliothek,265118.0,49805.0,11485.0
2017-01,Südvorstadt,26713.0,6898.0,2021.0
2017-01,Volkmarsdorf,3754.0,1495.0,358.0
2017-01,Wiederitzsch,4349.0,2347.0,415.0
2017-02,Buchsommer,,,
2017-02,Böhlitz-Ehrenberg,7485.0,2485.0,131.0
2017-02,Fahrbibliothek,7282.0,2945.0,339.0
2017-02,Gohlis,23849.0,7986.0,385.0
2017-02,Grünau-Mitte,5533.0,2519.0,84.0
2017-02,Grünau-Nord,5488.0,2422.0,72.0
2017-02,Grünau-Süd,6117.0,2095.0,90.0
2017-02,Holzhausen,2331.0,419.0,23.0
2017-02,Lützschena-Stahmeln,1551.0,368.0,18.0
2017-02,Mockau,3671.0,2521.0,74.0
2017-02,Onleihe,11598.0,11388.0,
2017-02,Paunsdorf,10415.0,3405.0,136.0
2017-02,Plagwitz,667.0,0.0,215.0
2017-02,Reudnitz,5527.0,2690.0,140.0
2017-02,Schönefeld,5032.0,2797.0,101.0
2017-02,Stadtbibliothek,250324.0,41386.0,2181.0
2017-02,Südvorstadt,24053.0,6761.0,341.0
2017-02,Volkmarsdorf,3235.0,1386.0,55.0
2017-02,Wiederitzsch,3556.0,2045.0,59.0
2017-03,Buchsommer,,,
2017-03,Böhlitz-Ehrenberg,8101.0,2571.0,79.0
2017-03,Fahrbibliothek,10443.0,4356.0,224.0
2017-03,Gohlis,26214.0,8770.0,315.0
2017-03,Grünau-Mitte,3573.0,1674.0,50.0
2017-03,Grünau-Nord,5818.0,2183.0,47.0
2017-03,Grünau-Süd,6494.0,2427.0,39.0
2017-03,Holzhausen,2325.0,461.0,21.0
2017-03,Lützschena-Stahmeln,1190.0,358.0,13.0
2017-03,Mockau,4343.0,3223.0,68.0
2017-03,Onleihe,11967.0,10690.0,
2017-03,Paunsdorf,11477.0,3806.0,76.0
2017-03,Plagwitz,1113.0,0.0,135.0
2017-03,Reudnitz,6250.0,2903.0,86.0
2017-03,Schönefeld,5614.0,2542.0,68.0
2017-03,Stadtbibliothek,265709.0,51878.0,1426.0
2017-03,Südvorstadt,26584.0,7895.0,203.0
2017-03,Volkmarsdorf,3429.0,1563.0,47.0
2017-03,Wiederitzsch,4527.0,2304.0,82.0
2017-04,Buchsommer,,,
2017-04,Böhlitz-Ehrenberg,6718.0,2660.0,66.0
2017-04,Fahrbibliothek,7388.0,2881.0,109.0
2017-04,Gohlis,20969.0,7246.0,223.0
2017-04,Grünau-Mitte,2338.0,952.0,22.0
2017-04,Grünau-Nord,5331.0,2359.0,27.0
2017-04,Grünau-Süd,5322.0,1657.0,18.0
2017-04,Holzhausen,2232.0,357.0,13.0
2017-04,Lützschena-Stahmeln,862.0,242.0,5.0
2017-04,Mockau,3373.0,2216.0,31.0
2017-04,Onleihe,12046.0,10051.0,
2017-04,Paunsdorf,10084.0,3384.0,109.0
2017-04,Plagwitz,9117.0,4524.0,244.0
2017-04,Reudnitz,4945.0,2398.0,53.0
2017-04,Schönefeld,4741.0,2434.0,40.0
2017-04,Stadtbibliothek,218151.0,37103.0,1122.0
2017-04,Südvorstadt,21723.0,6453.0,149.0
2017-04,Volkmarsdorf,2833.0,1172.0,25.0
2017-04,Wiederitzsch,2982.0,1396.0,24.0
2017-05,Buchsommer,,,
2017-05,Böhlitz-Ehrenberg,6541.0,2051.0,46.0
2017-05,Fahrbibliothek,7334.0,3270.0,70.0
2017-05,Gohlis,22410.0,6282.0,149.0
2017-05,Grünau-Mitte,427.0,0.0,12.0
2017-05,Grünau-Nord,5719.0,2497.0,24.0
2017-05,Grünau-Süd,5817.0,2134.0,45.0
2017-05,Holzhausen,2114.0,362.0,17.0
2017-05,Lützschena-Stahmeln,1347.0,381.0,7.0
2017-05,Mockau,3596.0,2576.0,29.0
2017-05,Onleihe,11596.0,11499.0,
2017-05,Paunsdorf,10674.0,3408.0,67.0
2017-05,Plagwitz,19337.0,7461.0,316.0
2017-05,Reudnitz,4874.0,1957.0,33.0
2017-05,Schönefeld,5364.0,2777.0,47.0
2017-05,Stadtbibliothek,237267.0,34632.0,872.0
2017-05,Südvorstadt,21708.0,6612.0,124.0
2017-05,Volkmarsdorf,2861.0,1928.0,35.0
2017-05,Wiederitzsch,2562.0,1288.0,13.0
2017-06,Buchsommer,,,
2017-06,Böhlitz-Ehrenberg,6507.0,2542.0,53.0
2017-06,Fahrbibliothek,5357.0,2473.0,54.0
2017-06,Gohlis,22446.0,7388.0,138.0
2017-06,Grünau-Mitte,3835.0,1841.0,63.0
2017-06,Grünau-Nord,4433.0,1888.0,17.0
2017-06,Grünau-Süd,4911.0,1886.0,23.0
2017-06,Holzhausen,1931.0,441.0,15.0
2017-06,Lützschena-Stahmeln,1254.0,273.0,13.0
2017-06,Mockau,3469.0,2996.0,33.0
2017-06,Onleihe,11983.0,11616.0,
2017-06,Paunsdorf,10893.0,3506.0,66.0
2017-06,Plagwitz,19675.0,7711.0,288.0
2017-06,Reudnitz,4484.0,2295.0,53.0
2017-06,Schönefeld,5395.0,2520.0,27.0
2017-06,Stadtbibliothek,218840.0,33667.0,765.0
2017-06,Südvorstadt,22571.0,6817.0,116.0
2017-06,Volkmarsdorf,2979.0,1824.0,39.0
2017-06,Wiederitzsch,4292.0,2291.0,26.0
2017-07,Buchsommer,,,
2017-07,Böhlitz-Ehrenberg,5112.0,1865.0,41.0
2017-07,Fahrbibliothek,1724.0,848.0,25.0
2017-07,Gohlis,17743.0,5720.0,137.0
2017-07,Grünau-Mitte,3965.0,1560.0,26.0
2017-07,Grünau-Nord,3841.0,1573.0,13.0
2017-07,Grünau-Süd,3612.0,1635.0,13.0
2017-07,Holzhausen,1810.0,371.0,12.0
2017-07,Lützschena-Stahmeln,1063.0,265.0,10.0
2017-07,Mockau,2636.0,1800.0,14.0
2017-07,Onleihe,13220.0,13966.0,
2017-07,Paunsdorf,7895.0,2857.0,32.0
2017-07,Plagwitz,16616.0,6105.0,205.0
2017-07,Reudnitz,4107.0,2092.0,38.0
2017-07,Schönefeld,3815.0,1436.0,22.0
2017-07,Stadtbibliothek,187200.0,26950.0,738.0
2017-07,Südvorstadt,17460.0,5315.0,110.0
2017-07,Volkmarsdorf,2336.0,1061.0,15.0
2017-07,Wiederitzsch,2305.0,1156.0,16.0
2017-08,Buchsommer,4119.0,,
2017-08,Böhlitz-Ehrenberg,7097.0,2184.0,31.0
2017-08,Fahrbibliothek,6721.0,3125.0,149.0
2017-08,Gohlis,23960.0,7612.0,166.0
2017-08,Grünau-Mitte,4710.0,1830.0,28.0
2017-08,Grünau-Nord,4430.0,2004.0,33.0
2017-08,Grünau-Süd,4151.0,1356.0,19.0
2017-08,Holzhausen,1537.0,291.0,9.0
2017-08,Lützschena-Stahmeln,1217.0,313.0,9.0
2017-08,Mockau,3419.0,1958.0,29.0
2017-08,Onleihe,12922.0,12406.0,
2017-08,Paunsdorf,10177.0,3167.0,48.0
2017-08,Plagwitz,20138.0,7773.0,201.0
2017-08,Reudnitz,5262.0,2277.0,54.0
2017-08,Schönefeld,5503.0,2617.0,101.0
2017-08,Stadtbibliothek,243526.0,34208.0,902.0
2017-08,Südvorstadt,21988.0,6781.0,114.0
2017-08,Volkmarsdorf,2895.0,1513.0,17.0
2017-08,Wiederitzsch,2434.0,1320.0,15.0
2017-09,Buchsommer,0.0,,
2017-09,Böhlitz-Ehrenberg,7149.0,1987.0,45.0
2017-09,Fahrbibliothek,7070.0,3598.0,198.0
2017-09,Gohlis,23464.0,8002.0,183.0
2017-09,Grünau-Mitte,5312.0,1852.0,32.0
2017-09,Grünau-Nord,4695.0,1710.0,28.0
2017-09,Grünau-Süd,4604.0,1351.0,22.0
2017-09,Holzhausen,2544.0,408.0,17.0
2017-09,Lützschena-Stahmeln,1383.0,340.0,6.0
2017-09,Mockau,4022.0,1774.0,58.0
2017-09,Onleihe,11323.0,11755.0,
2017-09,Paunsdorf,10550.0,3382.0,65.0
2017-09,Plagwitz,21715.0,7677.0,206.0
2017-09,Reudnitz,4978.0,2311.0,54.0
2017-09,Schönefeld,5483.0,3065.0,104.0
2017-09,Stadtbibliothek,248333.0,36690.0,850.0
2017-09,Südvorstadt,24793.0,8554.0,109.0
2017-09,Volkmarsdorf,2633.0,1437.0,17.0
2017-09,Wiederitzsch,3759.0,1998.0,23.0
2017-10,Buchsommer,0.0,,
2017-10,Böhlitz-Ehrenberg,6734.0,2300.0,71.0
2017-10,Fahrbibliothek,6745.0,2698.0,68.0
2017-10,Gohlis,22532.0,7293.0,161.0
2017-10,Grünau-Mitte,5575.0,2204.0,43.0
2017-10,Grünau-Nord,4655.0,1775.0,32.0
2017-10,Grünau-Süd,4544.0,1726.0,26.0
2017-10,Holzhausen,2147.0,404.0,8.0
2017-10,Lützschena-Stahmeln,938.0,274.0,6.0
2017-10,Mockau,3643.0,1774.0,29.0
2017-10,Onleihe,16300.0,13575.0,
2017-10,Paunsdorf,10094.0,3288.0,73.0
2017-10,Plagwitz,21765.0,7811.0,159.0
2017-10,Reudnitz,5096.0,2321.0,45.0
2017-10,Schönefeld,5422.0,2517.0,34.0
2017-10,Stadtbibliothek,243588.0,47671.0,887.0
2017-10,Südvorstadt,23683.0,7484.0,103.0
2017-10,Volkmarsdorf,2719.0,1390.0,9.0
2017-10,Wiederitzsch,3460.0,1809.0,76.0
2017-11,Buchsommer,0.0,,
2017-11,Böhlitz-Ehrenberg,7879.0,2369.0,75.0
2017-11,Fahrbibliothek,9011.0,3774.0,176.0
2017-11,Gohlis,24707.0,8329.0,355.0
2017-11,Grünau-Mitte,5492.0,2203.0,49.0
2017-11,Grünau-Nord,5642.0,1775.0,32.0
2017-11,Grünau-Süd,4502.0,1441.0,40.0
2017-11,Holzhausen,2599.0,507.0,13.0
