Zeitraum,Bibliothek,Entleihungen,Besucher,aktivierte Ausweise
2020-01,Buchsommer,,,
2020-01,Böhlitz-Ehrenberg,7645.0,2688.0,801.0
2020-01,Fahrbibliothek,9169.0,3068.0,1704.0
2020-01,Gohlis,24168.0,9334.0,2749.0
2020-01,Grünau-Mitte,6364.0,2806.0,614.0
2020-01,Grünau-Nord,5694.0,2912.0,487.0
2020-01,Grünau-Süd,4311.0,1984.0,523.0
2020-01,Holzhausen,1695.0,440.0,284.0
2020-01,Lützschena-Stahmeln,1243.0,332.0,169.0
2020-01,Mockau,4002.0,2557.0,478.0
2020-01,Onleihe,18559.0,,
2020-01,Overdrive,263.0,,
2020-01,Paunsdorf,11356.0,4446.0,876.0
2020-01,Plagwitz,23456.0,10044.0,2403.0
2020-01,Reudnitz,5764.0,4389.0,789.0
2020-01,Schönefeld,5392.0,2946.0,601.0
2020-01,Stadtbibliothek,281398.0,54996.0,13604.0
2020-01,Südvorstadt,22872.0,10158.0,2280.0
2020-01,Volkmarsdorf,3765.0,1847.0,402.0
2020-01,Wiederitzsch,3898.0,2140.0,420.0
2020-02,Buchsommer,,,
2020-02,Böhlitz-Ehrenberg,7278.0,2524.0,125.0
2020-02,Fahrbibliothek,6497.0,2364.0,233.0
2020-02,Gohlis,21654.0,8448.0,443.0
2020-02,Grünau-Mitte,5348.0,2368.0,71.0
2020-02,Grünau-Nord,5230.0,2182.0,81.0
2020-02,Grünau-Süd,4000.0,1739.0,89.0
2020-02,Holzhausen,2211.0,443.0,34.0
2020-02,Lützschena-Stahmeln,1134.0,380.0,33.0
2020-02,Mockau,3603.0,2359.0,82.0
2020-02,Onleihe,19311.0,,
2020-02,Overdrive,271.0,,
2020-02,Paunsdorf,10100.0,3126.0,118.0
2020-02,Plagwitz,21503.0,9125.0,437.0
2020-02,Reudnitz,5675.0,7159.0,146.0
2020-02,Schönefeld,4809.0,3251.0,122.0
2020-02,Stadtbibliothek,272651.0,53296.0,2404.0
2020-02,Südvorstadt,20338.0,8621.0,348.0
2020-02,Volkmarsdorf,3639.0,2120.0,77.0
2020-02,Wiederitzsch,3579.0,1998.0,42.0
2020-03,Buchsommer,,,
2020-03,Böhlitz-Ehrenberg,3915.0,1159.0,28.0
2020-03,Fahrbibliothek,4684.0,1805.0,114.0
