Zeitraum,Bibliothek,Entleihungen,Besucher,aktivierte Ausweise
2018-01,Stadtbibliothek,271900,53779,12163
2018-01,Plagwitz,24283,8817,2027
2018-01,Südvorstadt,25877,9719,2169
2018-01,Gohlis,25141,8601,2539
2018-01,Volkmarsdorf,3040,1637,348
2018-01,Schönefeld,5853,3099,515
2018-01,Paunsdorf,12902,3830,893
2018-01,Reudnitz,5434,2488,672
2018-01,Mockau,3874,2713,494
2018-01,Grünau-Mitte,5572,2231,624
2018-01,Grünau-Nord,6018,2405,409
2018-01,Grünau-Süd,5033,1867,456
2018-01,Fahrbibliothek,7837,3232,1550
2018-01,Böhlitz-Ehrenberg,7281,2180,709
2018-01,Lützschena-Stahmeln,1293,372,168
2018-01,Wiederitzsch,4108,2257,444
2018-01,Holzhausen,2391,468,253
2018-01,Onleihe,14414,14689,
2018-01,Buchsommer,,,
2018-02,Stadtbibliothek,525957,102464,14431
2018-02,Plagwitz,46293,17186,2425
2018-02,Südvorstadt,50029,17124,2534
2018-02,Gohlis,47674,16683,2989
2018-02,Volkmarsdorf,6317,3424,426
2018-02,Schönefeld,10878,5093,605
2018-02,Paunsdorf,24380,7414,1041
2018-02,Reudnitz,11330,5089,824
2018-02,Mockau,7737,5302,566
2018-02,Grünau-Mitte,11052,4557,717
2018-02,Grünau-Nord,12117,4872,495
2018-02,Grünau-Süd,9682,3783,525
2018-02,Fahrbibliothek,14156,5669,1773
2018-02,Böhlitz-Ehrenberg,14300,4303,822
2018-02,Lützschena-Stahmeln,2404,672,191
2018-02,Wiederitzsch,7804,3735,502
2018-02,Holzhausen,5070,1022,298
2018-02,Onleihe,28638,29321,
2018-02,Buchsommer,,,
2018-03,Stadtbibliothek,799244,158994,15882
2018-03,Plagwitz,67840,25446,2642
2018-03,Südvorstadt,75037,25199,2734
2018-03,Gohlis,71380,25518,3283
2018-03,Volkmarsdorf,9889,4956,472
2018-03,Schönefeld,15937,7517,660
2018-03,Paunsdorf,34633,10790,1109
2018-03,Reudnitz,17144,7540,907
2018-03,Mockau,11671,7461,601
2018-03,Grünau-Mitte,16499,7050,775
2018-03,Grünau-Nord,18565,7277,537
2018-03,Grünau-Süd,14578,5828,564
2018-03,Fahrbibliothek,22782,9271,1927
2018-03,Böhlitz-Ehrenberg,22081,6706,894
2018-03,Lützschena-Stahmeln,3755,1063,203
2018-03,Wiederitzsch,12078,5520,532
2018-03,Holzhausen,7625,1641,330
2018-03,Onleihe,45699,44964,
2018-03,Buchsommer,,,
2018-04,Stadtbibliothek,1034227,200278,16864
2018-04,Plagwitz,85589,32503,2772
2018-04,Südvorstadt,95219,32007,2874
2018-04,Gohlis,91530,32497,3497
2018-04,Volkmarsdorf,12643,7999,518
2018-04,Schönefeld,20187,9793,741
2018-04,Paunsdorf,44226,13700,1171
2018-04,Reudnitz,22006,9635,952
2018-04,Mockau,14897,10157,640
2018-04,Grünau-Mitte,21375,9183,831
2018-04,Grünau-Nord,24104,9302,572
2018-04,Grünau-Süd,18811,7281,583
2018-04,Fahrbibliothek,30351,12501,2013
2018-04,Böhlitz-Ehrenberg,28249,9118,951
2018-04,Lützschena-Stahmeln,4853,1381,213
2018-04,Wiederitzsch,14470,6770,543
2018-04,Holzhausen,9858,2165,340
2018-04,Onleihe,60381,58669,
2018-04,Buchsommer,,,
2018-05,Stadtbibliothek,1261731,238260,17645
2018-05,Plagwitz,103669,39178,2918
2018-05,Südvorstadt,115104,38738,2984
2018-05,Gohlis,112025,39352,3637
2018-05,Volkmarsdorf,15655,10291,597
2018-05,Schönefeld,25082,12031,773
2018-05,Paunsdorf,54130,16680,1222
2018-05,Reudnitz,26446,11656,993
2018-05,Mockau,18362,12291,666
2018-05,Grünau-Mitte,25876,11148,851
2018-05,Grünau-Nord,29814,10986,586
2018-05,Grünau-Süd,22540,8806,601
2018-05,Fahrbibliothek,37528,15301,2075
2018-05,Böhlitz-Ehrenberg,34116,10953,996
2018-05,Lützschena-Stahmeln,5833,1678,218
2018-05,Wiederitzsch,16907,8359,560
2018-05,Holzhausen,11950,2617,352
2018-05,Onleihe,73390,71379,
2018-05,Buchsommer,,,
2018-06,Stadtbibliothek,1494424,285934,18431
2018-06,Plagwitz,121671,46062,3071
2018-06,Südvorstadt,135192,46166,3168
2018-06,Gohlis,133174,46571,3781
2018-06,Volkmarsdorf,18364,11624,620
2018-06,Schönefeld,29595,14106,807
2018-06,Paunsdorf,63645,19941,1259
2018-06,Reudnitz,30852,13753,1038
2018-06,Mockau,21613,14237,684
2018-06,Grünau-Mitte,29743,13003,879
2018-06,Grünau-Nord,34691,12886,607
2018-06,Grünau-Süd,26813,10818,637
2018-06,Fahrbibliothek,45379,19361,2157
2018-06,Böhlitz-Ehrenberg,40637,13262,1054
2018-06,Lützschena-Stahmeln,6987,1992,236
2018-06,Wiederitzsch,20460,11132,582
2018-06,Holzhausen,13963,2987,361
2018-06,Onleihe,88642,84749,
2018-06,Buchsommer,,,
2018-07,Stadtbibliothek,1677938,329543,19023
2018-07,Plagwitz,137143,51351,3191
2018-07,Südvorstadt,150918,51660,3271
2018-07,Gohlis,149830,52142,3920
2018-07,Volkmarsdorf,20746,12694,630
2018-07,Schönefeld,33448,15766,831
2018-07,Paunsdorf,71916,22421,1292
2018-07,Reudnitz,34732,15866,1084
2018-07,Mockau,24482,16242,700
2018-07,Grünau-Mitte,33134,14445,904
2018-07,Grünau-Nord,39314,14492,627
2018-07,Grünau-Süd,30027,12237,652
2018-07,Fahrbibliothek,48298,19882,2184
2018-07,Böhlitz-Ehrenberg,45592,14926,1086
2018-07,Lützschena-Stahmeln,7631,2195,240
2018-07,Wiederitzsch,22702,12287,599
2018-07,Holzhausen,15448,3298,371
2018-07,Onleihe,107270,99374,
2018-07,Buchsommer,,,
2018-08,Stadtbibliothek,1926843,379952,19928
2018-08,Plagwitz,157065,58900,3330
2018-08,Südvorstadt,171312,59036,3369
2018-08,Gohlis,172234,59253,4109
2018-08,Volkmarsdorf,23988,14164,652
2018-08,Schönefeld,37956,17755,859
2018-08,Paunsdorf,82750,25957,1355
2018-08,Reudnitz,39704,18228,1137
2018-08,Mockau,28092,18053,728
2018-08,Grünau-Mitte,37806,16448,937
2018-08,Grünau-Nord,44685,16083,649
2018-08,Grünau-Süd,34187,14060,678
2018-08,Fahrbibliothek,56607,23153,2299
2018-08,Böhlitz-Ehrenberg,52268,17194,1137
2018-08,Lützschena-Stahmeln,8629,2481,248
2018-08,Wiederitzsch,25669,13865,617
2018-08,Holzhausen,17115,3721,386
2018-08,Buchsommer,4157,,
2018-08,Onleihe,123806,112769,
2018-09,Stadtbibliothek,2171074,421440,20741
2018-09,Plagwitz,176269,66132,3513
